StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Luddy or not?,"other_department ","luddy_department ",sense of belonging _1,sense of belonging _2,sense of belonging _3,sense of belonging _4,sense of belonging _5,sense of belonging _6,sense of belonging _7,sense of belonging _8,sense of belonging _9,sense of belonging _10,sense of belonging _11,sense of belonging _12,sense of belonging _13,sense of belonging _14,sense of belonging _15,sense of belonging _16,Q19,Q12,Q13,Q15,Q16,Q17,Q14,Q6,Q10,Q10_4_TEXT,Q11,Q12,nationality,Q22
2022-09-11 20:44:23,2022-09-11 20:46:46,IP Address,50.76.253.249,100,143,True,2022-09-11 20:46:47,R_AonM1peJP4Z4H1D,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,I-222,Female,,Black or African American,No,,Q2LUD2F-2742
2022-09-11 21:11:12,2022-09-11 21:13:42,IP Address,129.79.197.242,100,150,True,2022-09-11 21:13:42,R_1QuX4Pb8p4WDLpb,,,,,39.1707,-86.519,anonymous,EN,"No, I am a student in another school/department",KELLEY SCHOOL OF BUSINESS,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,THE INFORMATION SOCIETY,Male,,"White or Caucasian,Other",Yes,,Q2LUD2F-5159
2022-09-11 21:22:03,2022-09-11 21:27:33,IP Address,129.79.197.169,100,329,True,2022-09-11 21:27:33,R_32Y3LzZELTopLKq,,,,,39.1707,-86.519,anonymous,EN,"No, I am a student in another school/department",Kelley School of Business,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,this is my first year,Yes,No,Yes,Yes,Yes,Yes,The Information Society,Male,,White or Caucasian,No,,
2022-09-11 21:24:33,2022-09-11 21:59:40,IP Address,73.103.161.255,100,2106,True,2022-09-11 21:59:40,R_25vA6z9bZYWAyY4,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,FA22-BL-INFO-I222-12858,Male,,Asian,No,,
2022-09-12 09:12:56,2022-09-12 09:18:31,IP Address,129.79.197.179,100,335,True,2022-09-12 09:18:32,R_C4CcCYqYZ62w7Ad,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,Information Society I-222,Female,,Asian,No,,
2022-09-13 11:30:57,2022-09-13 11:33:11,IP Address,172.98.142.120,100,133,True,2022-09-13 11:33:11,R_3L7l3ywseiMjMCU,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,three years,No,No,No,No,No,No,I-400,Male,,White or Caucasian,No,,Q2LUD2F-6970
2022-09-13 16:39:08,2022-09-13 16:42:50,IP Address,68.45.50.76,100,222,True,2022-09-13 16:42:51,R_2xFWvBXDKPqj8vD,,,,,39.1215,-86.5784,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,two years,No,Yes,Yes,Yes,Yes,Yes,computing and enviroment,Male,,White or Caucasian,No,,Q2LUD2F-3563
2022-09-13 17:05:43,2022-09-13 17:09:07,IP Address,68.50.8.138,100,203,True,2022-09-13 17:09:07,R_2R49iSFvtK4dU7E,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Applied Machine Learning,Male,,Asian,No,,Q2LUD2F-5903
2022-09-13 17:15:09,2022-09-13 17:17:36,IP Address,68.45.50.212,100,147,True,2022-09-13 17:17:37,R_1JW1lBrLLSw54ST,,,,,39.1215,-86.5784,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,I-400 computing and the environment,Female,,White or Caucasian,No,,
2022-09-13 17:59:54,2022-09-13 18:01:49,IP Address,129.79.197.27,100,115,True,2022-09-13 18:01:49,R_2ZQwdyZ4JxRPWAq,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,CSCI B 505 Applied Algorithms,Male,,Asian,No,,
2022-09-13 17:59:25,2022-09-13 18:02:15,IP Address,12.159.86.243,100,169,True,2022-09-13 18:02:15,R_0J1UC94iFfAkKUV,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Applied Algorithms CSCI B505,Male,,Asian,No,,Q2LUD2F-3069
2022-09-13 17:59:51,2022-09-13 18:02:52,IP Address,68.50.32.154,100,181,True,2022-09-13 18:02:53,R_2xyi4XZKFwb9RII,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,CSCI-B505,Prefer not to say,,Prefer not to say,No,,
2022-09-13 17:59:24,2022-09-13 18:08:08,IP Address,68.58.33.91,100,524,True,2022-09-13 18:08:08,R_2ZNtHDiJpvHs4DT,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Applied algorithms,Male,,Asian,No,,
2022-09-13 18:01:53,2022-09-13 18:10:36,IP Address,68.58.33.91,100,523,True,2022-09-13 18:10:36,R_1jxMeKE7MoFpSVo,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Applied Algorithms,Male,,Asian,No,,
2022-09-13 18:03:18,2022-09-13 18:11:40,IP Address,166.196.110.72,100,501,True,2022-09-13 18:11:40,R_3k1BtsiX3RLPMer,,,,,38.5774,-90.6709,anonymous,EN,,,,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Applied Algorithms,Male,,Asian,No,,
2022-09-13 18:25:11,2022-09-13 18:27:12,IP Address,68.50.8.138,100,121,True,2022-09-13 18:27:12,R_3mkFLCUxf5wzXTD,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Applied Algorithms,Male,,Asian,No,,Q2LUD2F-6585
2022-09-13 18:00:32,2022-09-13 18:30:41,IP Address,68.54.134.196,100,1808,True,2022-09-13 18:30:41,R_3KZpMxCDUaA19Vw,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,FA22-BL-CSCI-B505-9361 Applied Algorithms,Female,,Asian,No,,
2022-09-13 18:45:02,2022-09-13 18:47:18,IP Address,68.50.12.222,100,135,True,2022-09-13 18:47:18,R_25t4k54zLpStuid,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,"Applied Algorithms, Applied Machine Learning, Introduction to Bioinformatics",Male,,Asian,No,,
2022-09-13 18:48:03,2022-09-13 18:50:32,IP Address,68.45.66.249,100,148,True,2022-09-13 18:50:32,R_3CCbN51HmZ6I1ng,,,,,39.1215,-86.5784,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,,Male,,Asian,No,,
2022-09-13 18:55:18,2022-09-13 18:58:29,IP Address,68.38.151.157,100,191,True,2022-09-13 18:58:29,R_1ruZfK9bwVpdBpT,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Applied Algorithms,Male,,Asian,No,,Q2LUD2F-4972
2022-09-13 18:54:21,2022-09-13 18:59:36,IP Address,73.102.54.110,100,315,True,2022-09-13 18:59:37,R_3oEZFoR0PY2balr,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Applied Algorithms,Female,,Asian,No,,
2022-09-13 19:10:42,2022-09-13 19:14:04,IP Address,72.68.95.57,100,202,True,2022-09-13 19:14:04,R_cAf6IpS7VuAcKwF,,,,,40.5921,-74.6238,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,this is my first year,No,Yes,Yes,Yes,Yes,Yes,Applied Algorithms,Male,,Asian,No,,Q2LUD2F-5728
2022-09-13 19:34:55,2022-09-13 19:37:10,IP Address,68.50.35.42,100,134,True,2022-09-13 19:37:10,R_2396O9iz8L4nHO5,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,Applied Algorithms,Male,,Asian,No,,
2022-09-13 19:39:08,2022-09-13 19:41:43,IP Address,98.220.167.198,100,154,True,2022-09-13 19:41:43,R_26gbxuU1uAce97l,,,,,42.0128,-88.0967,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Applied Algorithms,Male,,White or Caucasian,No,,
2022-09-13 20:24:45,2022-09-13 20:26:56,IP Address,73.103.160.158,100,130,True,2022-09-13 20:26:56,R_1o5eR6sVuFBMqJg,,,,,39.1397,-86.5141,anonymous,EN,"No, I am a student in another school/department",International Studies,,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,three years,Yes,No,No,Yes,Yes,Yes,"Computing and the Environment ",Female,,White or Caucasian,No,,Q2LUD2F-1699
2022-09-13 20:26:14,2022-09-13 20:28:12,IP Address,68.45.154.102,100,117,True,2022-09-13 20:28:12,R_3rHtMs1Aoeq8YEF,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,three years,Yes,Yes,Yes,Yes,Yes,Yes,I400,Male,,White or Caucasian,No,,
2022-09-13 20:57:55,2022-09-13 21:04:11,IP Address,73.145.241.29,100,376,True,2022-09-13 21:04:12,R_3kAgkV9kzHTsmhQ,,,,,42.4261,-83.2514,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,"Data Science ",Female,,Asian,No,,Q2LUD2F-4070
2022-09-13 21:39:20,2022-09-13 21:41:45,IP Address,69.223.63.201,100,144,True,2022-09-13 21:41:45,R_0k5QFGH0eUuYhA5,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,"Applied Algorithms ",Male,,Asian,No,,Q2LUD2F-3993
2022-09-13 21:41:21,2022-09-13 21:45:13,IP Address,73.103.161.63,100,232,True,2022-09-13 21:45:13,R_1pJUFtGDEISpzJt,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,Information Society - I222,Male,,White or Caucasian,No,,
2022-09-07 08:17:59,2022-09-13 22:51:53,IP Address,129.79.197.14,100,570833,True,2022-09-13 22:51:53,R_2rwtxWvkOJkevM0,,,,,39.1707,-86.519,anonymous,EN,"No, I am a student in another school/department",Kelley school of business,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,"The Information society ",Male,,White or Caucasian,No,,Q2LUD2F-7210
2022-09-13 23:38:07,2022-09-13 23:42:14,IP Address,67.39.233.51,100,247,True,2022-09-13 23:42:14,R_24jiXFGZiVbOd7M,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,four years,Yes,Yes,Yes,Yes,Yes,Yes,INFO-I 400/I590 (Computing and Environment),Male,,White or Caucasian,No,,
2022-09-14 01:01:50,2022-09-14 01:04:21,IP Address,103.167.129.95,100,150,True,2022-09-14 01:04:21,R_1OWcRXNQa1MnQqV,,,,,15.3911,73.8204,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,this is my first year,Yes,No,Yes,Yes,Yes,No,CSCI B505 - Fall 2022,Female,,Asian,No,,Q2LUD2F-7991
2022-09-14 04:01:51,2022-09-14 04:04:59,IP Address,174.81.34.192,100,187,True,2022-09-14 04:04:59,R_Q9VlCyQ2X4OqSJP,,,,,33.9249,-117.4592,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,Applied Algorithms,Female,,Asian,No,,
2022-09-07 07:09:31,2022-09-07 07:12:36,IP Address,107.77.208.183,94,184,False,2022-09-14 07:12:39,R_0cXAtgcztOrxTqN,,,,,,,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,more than four years,Yes,Yes,Yes,Yes,Yes,Yes,INFO I453,Male,,White or Caucasian,No,,
2022-09-07 08:15:30,2022-09-07 08:17:59,IP Address,129.79.197.185,76,149,False,2022-09-14 08:18:01,R_sUzwuAAguMRvvSp,,,,,,,anonymous,EN,"No, I am a student in another school/department","Kelley ",,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,"Information Society ",,,,,,
2022-09-14 08:15:56,2022-09-14 08:19:12,IP Address,73.145.246.157,100,195,True,2022-09-14 08:19:12,R_2wRfrvq8LZy23DT,,,,,42.3702,-83.1084,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Applied algorithms,Female,,Asian,No,,Q2LUD2F-6854
2022-09-07 08:33:42,2022-09-07 08:35:14,IP Address,73.146.18.157,94,92,False,2022-09-14 08:35:17,R_2COFOtDDzw7OUeC,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-14 09:51:04,2022-09-14 09:55:25,IP Address,74.112.114.78,100,261,True,2022-09-14 09:55:26,R_2vZIk1Z0VNtMtlk,,,,,39.5992,-86.13,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,more than four years,Yes,Yes,Yes,Yes,Yes,No,CSCI-B505 Applied Algorithms,Male,,White or Caucasian,No,,Q2LUD2F-2411
2022-09-14 10:38:51,2022-09-14 10:43:33,IP Address,117.82.230.232,100,282,True,2022-09-14 10:43:34,R_1JW2rywIcBtEKmX,,,,,31.3093,120.602,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,more than four years,Yes,Yes,Yes,Yes,Yes,Yes,B505,Male,,Asian,No,,Q2LUD2F-4173
2022-09-07 11:35:37,2022-09-07 11:39:13,IP Address,129.79.197.229,94,216,False,2022-09-14 11:39:17,R_2tLo0J4yUHATuDS,,,,,,,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Information Society INFO-I 222,Male,,White or Caucasian,No,,
2022-09-14 11:46:22,2022-09-14 11:50:46,IP Address,129.79.197.82,100,263,True,2022-09-14 11:50:47,R_2SiwMMVwEf35MPm,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,four years,Yes,Yes,Yes,Yes,Yes,Yes,"Creativity, innovation, and technology",Female,,White or Caucasian,No,,
2022-09-14 11:59:27,2022-09-14 12:02:41,IP Address,173.230.72.27,100,193,True,2022-09-14 12:02:41,R_2QEULsLkcrIrk4B,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,four years,No,No,Yes,Yes,Yes,Yes,I-400 Computing and the Environment,Female,,White or Caucasian,No,,
2022-09-14 12:07:15,2022-09-14 12:09:38,IP Address,73.146.219.111,100,143,True,2022-09-14 12:09:39,R_11aRFCCdljoZKX3,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly Disagree,,Neither agree nor disagree,Neither agree nor disagree,more than four years,Yes,No,Yes,Yes,Yes,Yes,INFO- I400,Male,,White or Caucasian,No,,
2022-09-14 12:26:24,2022-09-14 12:29:08,IP Address,68.58.33.161,100,163,True,2022-09-14 12:29:08,R_3fC4jztKlmbDEaY,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,INFO-i400,Male,,White or Caucasian,No,,Q2LUD2F-2311
